ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
78,Indiana-Merrillville,101 W Lincoln Hwy,46410,18089,1.0,1.0,,1932442,8427,19876,18531,1345,1334,5677,7011,71,117.7954123,128.5902066,-10.79479423,2.395535733,9.902625316,12.29816104,7917107.0
79,Indiana-Bloomington,3175 W 3rd St,47404,36224,1.0,1.0,,1588529,484,15798,14992,806,2367,-2648,-281,-41,188.7039438,213.45628900000003,-24.75234518,13.26685942,-38.4438667,-25.17700729,4771408.0
80,Kentucky-Elizabethtown,1811 North Dixie Hwy,42701,21093,1.0,1.0,1.0,246244,917,2915,2525,390,-40,576,536,-9,63.75773737,72.72960929,-8.971871933,0.480865456,-3.844840366,-3.363974912,6374672.0
81,Illinois-Crestwood,13180 S Cicero Avenue,60445,17031,1.0,1.0,1.0,5172966,-21590,62073,42675,19398,11659,-52703,-41044,56,32.33254794,27.35732292,4.975225017,6.295899639,-2.762615769,3.533283874,3941911.0
82,Wisconsin-Greenfield,4601 S 27th St,53221,55079,1.0,1.0,1.0,945726,-1243,12941,8226,4715,1072,-7014,-5942,-16,13.67468081,8.692367232999999,4.982313579,1.132776279,-7.411653752999999,-6.278877474,7221716.0
83,Georgia-Augusta,1323 Augusta West Parkway,30909,26318,1.0,1.0,1.0,1222666,3933,13824,11497,2327,539,1082,1621,-15,125.2777239,125.6899468,-0.412222898,6.870356994,10.56529829,17.43565528,6351637.0
84,Wisconsin-Wauwatosa,3201 N Mayfair Rd,53222,55079,1.0,1.0,1.0,945726,-1243,12941,8226,4715,1072,-7014,-5942,-16,13.67468081,8.692367232999999,4.982313579,1.132776279,-7.411653752999999,-6.278877474,
85,Illinois-Elmhurst,265 Illinois 83,60126,34074,1.0,1.0,1.0,6095887,-25916,72231,49270,22961,13709,-62712,-49003,126,43.3131724,34.48640525,8.826767147,8.511914617,-13.58217378,-5.0702591560000005,9041851.0
86,Illinois-Schaumburg West,101 Barrington Rd,60194,17031,1.0,1.0,1.0,5172966,-21590,62073,42675,19398,11659,-52703,-41044,56,32.33254794,27.35732292,4.975225017,6.295899639,-2.762615769,3.533283874,2606220.0
87,Illinois-Aurora,956 N Route 59,60504,51225,1.0,1.0,1.0,1639631,-1333,18362,11097,7265,2098,-10767,-8669,71,53.00638287,35.06094775,17.94543512,2.835438425,50.07463485,52.91007328,
88,Illinois-Geneva,2100 South Randall Road,60134,17089,1.0,1.0,1.0,540289,-108,6328,3530,2798,-86,-2824,-2910,4,21.88614035,14.98606831,6.9000720410000005,-0.794644747,20.27703245,19.48238771,7217574.0
89,Illinois-Lake in the Hills,101 Randall Rd,60156,17111,1.0,1.0,1.0,313519,-540,3154,2258,896,7,-1448,-1441,5,21.11143371,17.52298651,3.588447197,0.02272635,-16.08230322,-16.05957687,6617165.0
90,Wisconsin-Grand Chute,3820 W Wisconsin Ave,54914,110226,1.0,1.0,,652718,792,7504,5864,1640,499,-1338,-839,-9,43.30510418,37.51274483,5.792359351,2.192117681,-18.00253173,-15.81041405,4229265.0
91,Georgia-Athens,2656 Atlanta Hwy,30606,26278,1.0,1.0,1.0,311334,2765,3110,2787,323,493,1957,2450,-8,73.83859692,72.26675754,1.5718393819999998,6.2835707639999985,17.56373877,23.84730953,
92,Georgia-Pooler,300 Tanger Outlet Blvd,31322,13051,1.0,1.0,,363900,1607,4216,3340,876,296,454,750,-19,21.30575123,19.31738975,1.988361489,0.942416283,16.18509155,17.12750783,10610053.0
93,Georgia-Buford,1605 Buford Hwy,30518,26274,1.0,1.0,1.0,1205008,11822,14931,6879,8052,2628,1142,3770,0,48.4959456,30.50296782,17.99297779,5.937619977000001,-19.4111623,-13.47354232,10710573.0
